framework              , test                                                         , time     , p95      , p99      , cv       , group          , family                   , metrics                                                                                         
@solidjs/signals       , manySourcesIntoOneComputedEffectWithDirect                   , 411.99   , 440.37   , 455.98   , 0.034    , pull           , wide fan-in              , checksum=1372929289844                                                                          
@solidjs/signals       , manySourcesIntoOneComputedEffect                             , 400.99   , 434.98   , 449.88   , 0.039    , pull           , wide fan-in              , checksum=1331323690944                                                                          
@solidjs/signals       , manySourcesIntoOneDirectEffect                               , 110.51   , 132.85   , 143.72   , 0.094    , pull           , wide fan-in              , checksum=41605598900                                                                            
@solidjs/signals       , molBench                                                     , 539.23   , 566.37   , 577.94   , 0.023    , dynamic        , mixed app graph          ,                                                                                                 
@solidjs/signals       , createDataSignals                                            , 8.83     , 10.54    , 10.74    , 0.094    , creation       , signal creation          ,                                                                                                 
@solidjs/signals       , createComputations0to1                                       , 12.78    , 22.98    , 26.20    , 0.376    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations1to1                                       , 19.30    , 25.12    , 27.11    , 0.149    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations2to1                                       , 17.10    , 21.58    , 22.94    , 0.123    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations4to1                                       , 14.52    , 23.23    , 26.11    , 0.271    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations1000to1                                    , 8.67     , 18.42    , 20.23    , 0.411    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations1to2                                       , 16.30    , 23.15    , 25.40    , 0.191    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations1to4                                       , 15.64    , 25.46    , 27.79    , 0.250    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations1to8                                       , 23.82    , 33.89    , 36.92    , 0.262    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations1to1000                                    , 15.24    , 31.03    , 35.87    , 0.407    , creation       , computed creation        ,                                                                                                 
